business_id,name,address,city,state,postal_code,latitude,longitude,stars,review_count,is_open,categories,attributes.RestaurantsTableService,attributes.WiFi,attributes.BikeParking,attributes.BusinessParking,attributes.BusinessAcceptsCreditCards,attributes.RestaurantsReservations,attributes.WheelchairAccessible,attributes.Caters,attributes.OutdoorSeating,attributes.RestaurantsGoodForGroups,attributes.HappyHour,attributes.BusinessAcceptsBitcoin,attributes.RestaurantsPriceRange2,attributes.Ambience,attributes.HasTV,attributes.Alcohol,attributes.GoodForMeal,attributes.DogsAllowed,attributes.RestaurantsTakeOut,attributes.NoiseLevel,attributes.RestaurantsAttire,attributes.RestaurantsDelivery,attributes.GoodForKids,attributes.ByAppointmentOnly,attributes.AcceptsInsurance,attributes.HairSpecializesIn,attributes.GoodForDancing,attributes.BestNights,attributes.Music,attributes.BYOB,attributes.CoatCheck,attributes.Smoking,attributes.DriveThru,attributes.BYOBCorkage,attributes.Corkage,attributes.RestaurantsCounterService,attributes.AgesAllowed,attributes.DietaryRestrictions,attributes.Open24Hours,hours.Monday,hours.Tuesday,hours.Wednesday,hours.Thursday,hours.Friday,hours.Saturday,hours.Sunday
FgH-1fvKFIfISD5kbyz-Wg,Cheloulou Kuizine,10125 SE Stark St,Portland,OR,97216,45.5192994857,-122.5598239913,5,9,0,"Caribbean, Restaurants, Food, Food Trucks, Food Stands, Haitian",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B8l30zq20_VWQr2r5qqTYA,Captured Beer Bus,113 SE 28th Ave,Portland,OR,97202,45.521791,-122.6375755,4.5,48,1,"Restaurants, Bars, Pubs, Beer Gardens, Beer, Wine & Spirits, Food Stands, Nightlife, Breweries, Food Trucks, Food",NA,u'free',True,"{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}",True,False,True,False,True,True,False,NA,1,NA,False,u'beer_and_wine',NA,NA,True,u'average',u'casual',False,True,False,NA,NA,NA,NA,NA,NA,False,u'outdoor',NA,NA,NA,NA,NA,NA,NA,12:0-22:0,12:0-22:0,12:0-22:0,12:0-22:0,12:0-22:0,12:0-22:0,12:0-22:0
V7C7J8uqcY8E9edl-Op2sQ,Sasquatch Brewery,6440 SW Capitol Hwy,Portland,OR,97239,45.4776452,-122.6988663,3.5,431,1,"Pubs, Burgers, Restaurants, Cideries, Breweries, Gastropubs, Bars, Nightlife, Brewpubs, Food",True,u'free',True,"{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}",True,True,NA,False,True,True,True,NA,2,"{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': True, 'casual': True}",False,u'beer_and_wine',"{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'brunch': False, 'breakfast': False}",True,True,u'average',u'casual',True,True,NA,NA,NA,NA,NA,NA,NA,NA,NA,False,NA,NA,NA,NA,NA,NA,0:0-0:0,NA,15:0-20:0,15:0-20:0,12:0-20:0,12:0-20:0,12:0-20:0
vAbsbtE1moiqvvEbwji38A,Brother's Wings & Bings,"4708 NW Bethany Blvd, Ste E-7",Portland,OR,97229,45.5541934,-122.8359723,3,28,1,"Fast Food, Chinese, Restaurants, Chicken Wings",True,u'no',True,"{'garage': None, 'street': True, 'validated': False, 'lot': None, 'valet': False}",True,True,False,True,True,NA,True,NA,2,"{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': False}",False,u'none',NA,False,True,NA,NA,True,NA,NA,NA,NA,NA,NA,NA,False,NA,NA,False,NA,False,NA,NA,NA,NA,11:30-21:0,11:30-21:0,11:30-21:0,11:30-21:0,11:30-21:30,11:30-21:30,11:30-21:0
6YYu1SFIgFzfOjxsWyGbFw,Pizza Hut,7405 Barbur Blvd,Portland,OR,97219,45.4717738,-122.6858939,2,31,0,"Pizza, Restaurants, Italian, Chicken Wings",NA,u'no',True,NA,True,False,NA,True,False,True,NA,NA,1,None,True,NA,NA,NA,True,NA,u'casual',True,True,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10:30-0:0,10:30-0:0,10:30-0:0,10:30-0:0,10:30-1:0,10:30-1:0,10:30-0:0
LAlnul9Rv4WvlRSQ1r7W2w,Rip City Grill,,Portland,OR,97239,45.4951047349,-122.6720523834,4.5,158,1,"Caterers, Food, Food Stands, American (Traditional), Event Planning & Services, Specialty Food, Restaurants",False,u'no',True,"{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}",True,False,True,True,True,False,NA,NA,1,"{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': True}",False,u'none',"{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'brunch': False, 'breakfast': False}",True,True,u'average',u'casual',True,True,NA,NA,NA,NA,NA,NA,False,NA,NA,NA,NA,NA,NA,NA,NA,NA,0:0-0:0,10:30-14:0,10:30-14:0,10:30-14:0,10:30-14:0,NA,NA
bL3TOuUWiYPXnbcts48Jdg,Chopsticks,3390 NE Sandy Blvd,Portland,OR,97232,45.53202,-122.6289892,3,58,1,"Dive Bars, Chinese, Bars, Karaoke, Restaurants, Nightlife",True,u'free',True,"{'garage': False, 'street': True, 'validated': False, 'lot': True, 'valet': False}",True,True,True,False,True,True,True,False,1,"{'touristy': False, 'hipster': None, 'romantic': False, 'divey': True, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': None}",True,u'full_bar',"{'dessert': False, 'latenight': True, 'lunch': None, 'dinner': None, 'brunch': None, 'breakfast': None}",False,True,'loud','casual',True,False,NA,NA,NA,True,"{'monday': False, 'tuesday': False, 'friday': True, 'wednesday': False, 'thursday': False, 'sunday': False, 'saturday': True}","{'dj': None, 'background_music': False, 'no_music': False, 'jukebox': None, 'live': None, 'video': False, 'karaoke': True}",NA,False,u'outdoor',NA,NA,NA,NA,NA,NA,NA,16:0-2:30,16:0-2:30,16:0-2:30,16:0-2:30,16:0-2:30,17:0-2:30,17:0-2:30
424dZZImIrDTOyeRFta6Jw,Saithong Thai Fusion,710 SW 2nd Ave,Portland,OR,97204,45.5177213,-122.6743843,4,73,0,"Vietnamese, Thai, Soup, Asian Fusion, Restaurants",True,u'free',True,"{'garage': True, 'street': True, 'validated': False, 'lot': False, 'valet': False}",True,True,True,True,True,True,True,NA,2,"{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': True}",True,u'full_bar',"{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'brunch': False, 'breakfast': False}",False,True,u'average','casual',True,True,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11:0-21:0,11:0-21:0,11:0-22:0,11:0-22:0,11:0-22:0,11:0-22:0,14:0-21:0
HB_v0MY2QAs_05xpQdEexA,E-San Thai Cuisine,133 SW 2nd Ave,Portland,OR,97204,45.521572,-122.6729487,4,546,0,"Food, Thai, Food Trucks, Laotian, Salad, Seafood, Restaurants",True,u'free',True,"{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}",True,True,True,True,True,True,True,False,2,"{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': True, 'casual': True}",True,u'full_bar',"{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'brunch': False, 'breakfast': False}",NA,True,u'average','casual',True,True,NA,NA,NA,NA,NA,NA,False,NA,NA,NA,'yes_corkage',True,NA,NA,NA,NA,11:0-22:0,11:0-22:0,11:0-22:0,11:0-22:0,11:0-22:0,12:0-22:0,12:0-22:0
T1Gi5BN7eH99tu2x7q8RFA,Tope,15 NW 4th Ave,Portland,OR,97209,45.52332,-122.674821,3.5,102,1,"Restaurants, Mexican, Breakfast & Brunch, Nightlife, Tacos, Bars",True,u'free',True,"{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': True}",True,False,True,True,True,True,False,False,2,"{'touristy': True, 'hipster': True, 'romantic': None, 'divey': None, 'intimate': None, 'trendy': True, 'upscale': None, 'classy': None, 'casual': True}",False,u'full_bar',"{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}",False,True,u'average',NA,False,NA,NA,NA,NA,NA,"{'monday': False, 'tuesday': False, 'friday': False, 'wednesday': False, 'thursday': False, 'sunday': True, 'saturday': True}","{'dj': False, 'background_music': False, 'no_music': False, 'jukebox': None, 'live': False, 'video': False, 'karaoke': None}",NA,True,u'no',NA,NA,NA,NA,NA,NA,NA,15:0-22:0,15:0-22:0,15:0-22:0,15:0-22:0,15:0-22:0,10:0-22:0,10:0-22:0
oCf2gutEZaLG5-REYP2mOQ,Compote,2032 SE Clinton,Portland,OR,97202,45.5033251,-122.6449835,4,63,0,"Restaurants, Food, Bakeries, American (New), Cafes",NA,u'no',NA,"{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}",True,False,NA,False,True,True,NA,NA,2,"{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': True}",False,u'full_bar',NA,NA,True,u'average',u'casual',False,True,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8:0-16:0,8:0-16:0,8:0-16:0,8:0-16:0,8:0-16:0,8:0-16:0
v9n_mGjKO2kQLuAezjp1Eg,Pad Kee Mao Thai Food,6238 Sw Capitol Hwy,Portland,OR,97239,45.4787968,-122.6931126,4,56,1,"Bubble Tea, Food Stands, Food Trucks, Thai, Food, Juice Bars & Smoothies, Restaurants",False,'free',True,"{'garage': True, 'street': False, 'validated': False, 'lot': False, 'valet': False}",True,False,NA,False,True,True,NA,NA,1,"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}",True,'none',"{'dessert': True, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}",NA,True,NA,'casual',False,True,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11:0-19:30,11:0-19:30,11:0-19:30,11:0-19:30,11:0-19:30,11:0-19:30,11:0-19:30
EpynNoPJa-F9arh_31W4aQ,Paitong Thai Cuisine,8000 NE Glisan St,Portland,OR,97213,45.5262812,-122.5813061,3.5,79,1,"Restaurants, Ethnic Food, Specialty Food, Caterers, Imported Food, Comfort Food, Salad, Thai, Event Planning & Services, Noodles, Breakfast & Brunch, Food",True,u'free',True,"{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}",True,True,True,True,False,True,NA,NA,2,"{'touristy': False, 'hipster': False, 'romantic': False, 'divey': None, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': True}",False,u'beer_and_wine',"{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'brunch': False, 'breakfast': False}",False,True,u'quiet',u'casual',True,True,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16:0-21:0,16:0-21:0,16:0-21:0,16:0-21:0,16:0-21:0,16:0-21:0,16:0-21:0
88wLRYub7GQ70X1K1IICUA,Migration Brewing,2828 NE Glisan St,Portland,OR,97232,45.5262236,-122.6363076,3.5,281,1,"Sandwiches, Restaurants, Burgers, Food, Pizza, Breweries, Brewpubs",NA,'free',True,"{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}",True,True,True,False,True,True,True,NA,2,"{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': True}",True,u'beer_and_wine',"{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'brunch': False, 'breakfast': False}",True,True,u'average',u'casual',True,False,NA,NA,NA,NA,NA,NA,False,NA,NA,False,NA,NA,NA,NA,NA,NA,0:0-0:0,11:0-22:0,11:0-22:0,11:0-22:0,11:0-22:0,11:0-22:0,11:0-22:0
82zSdi2HCKivVvVPFtz7Ww,London Pasty Company,"8145 SE 82nd Ave, Cartlandia",Portland,OR,97206,45.52454,-122.67178,4,12,0,"Restaurants, Sandwiches, Street Vendors, Food",NA,NA,NA,"{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,True,u'average',u'casual',NA,True,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TH_pZAMpGIJInR_VLeuvew,Spielman Bagels & Coffee,7713 SW Capitol Hwy,Portland,OR,97219,45.4686944,-122.7108343,3,42,1,"Bagels, Coffee Roasteries, Restaurants, Food, Coffee & Tea, Event Planning & Services, Caterers, Breakfast & Brunch",NA,NA,NA,"{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}",True,False,NA,True,True,False,NA,NA,1,"{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': False}",NA,NA,"{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}",NA,True,NA,NA,True,True,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0:0-0:0,7:0-14:0,7:0-14:0,7:0-13:0,6:0-16:0,7:0-14:0,7:0-14:0
XjBlTV8tkjTjPVAGK5UhWA,J & W Fish And Chips,"9320 SE Woodstock Blvd, Ste 7",Portland,OR,97266,45.4786589,-122.5677542,4.5,14,1,"Restaurants, Food, Fish & Chips, Food Trucks",NA,NA,NA,"{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,True,NA,NA,NA,True,NA,NA,True,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
jjsFu95Om5jVRBS0Hh7qBA,Shotgun Sub Shop,563 SW 10th Ave,Portland,OR,97205,45.5222249852,-122.6836395264,3,9,0,"Sandwiches, Restaurants, Food",NA,u'no',NA,"{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}",False,False,NA,True,False,NA,NA,NA,1,"{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': False}",True,u'none',NA,NA,True,u'average',u'casual',False,True,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11:30-15:0,11:30-15:0,11:30-15:0,11:30-15:0,11:30-15:0,NA,NA
5yOU-HDlla2gVJOSBi9yGg,Taqueria Los Salazares,13036 SE Stark St,Portland,OR,97233,45.5189714,-122.5297222,4.5,13,0,"Food, Mexican, Restaurants, Grocery",NA,NA,True,"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",True,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,True,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EiemWJDwqXUZzIWaf8q0Zw,Burgerville,8218 NE Glisan St,Portland,OR,97220,45.5261486702,-122.5786515014,2.5,91,1,"Restaurants, Burgers",NA,'free',True,"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",True,False,NA,False,True,True,NA,NA,1,"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}",True,'none',"{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'brunch': False, 'breakfast': False}",NA,True,u'average','casual',True,True,NA,NA,NA,NA,NA,NA,NA,NA,NA,True,'no',NA,NA,NA,NA,NA,0:0-0:0,10:0-22:0,10:0-22:0,10:0-18:0,10:0-22:0,10:0-22:0,10:0-22:0
bFWfo2D1nXc-J4vFqKvm1Q,Botto's Bbq,2204 Nw Roosevelt,Portland,OR,97201,45.5381531,-122.6973415,5,39,0,"Salad, Food, Sandwiches, Food Trucks, Caterers, Specialty Food, Restaurants, Meat Shops, Event Planning & Services, Barbeque",False,u'no',True,"{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}",True,False,True,True,True,True,False,NA,2,"{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': False}",False,u'none',"{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}",True,True,NA,'casual',False,True,NA,NA,NA,NA,NA,NA,True,NA,NA,NA,NA,False,NA,NA,NA,NA,NA,NA,11:0-20:0,11:0-20:0,11:0-20:0,12:0-20:0,12:0-18:0
8SXkmHXMeEpked_NPl4_pw,The Rambler,4205 N Mississippi Ave,Portland,OR,97217,45.554064,-122.6757746,4,189,1,"Gastropubs, Bars, Restaurants, American (New), Breakfast & Brunch, Nightlife, American (Traditional)",False,u'free',True,"{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}",True,False,False,False,True,True,True,NA,2,"{'touristy': False, 'hipster': True, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': True, 'casual': True}",True,u'full_bar',"{'dessert': False, 'latenight': True, 'lunch': None, 'dinner': True, 'brunch': None, 'breakfast': False}",True,True,'average','casual',False,False,NA,NA,NA,False,"{'monday': True, 'tuesday': True, 'friday': False, 'wednesday': False, 'thursday': False, 'sunday': False, 'saturday': True}","{'dj': False, 'background_music': False, 'no_music': False, 'jukebox': False, 'live': False, 'video': False, 'karaoke': None}",NA,False,u'outdoor',NA,NA,NA,NA,NA,NA,NA,0:0-0:0,16:0-22:30,16:0-22:30,16:0-22:30,16:0-22:30,16:0-22:30,16:0-22:30
